Year,Republican,Democrat,Other
1981,53,46,1
1982,53,46,1
1983,55,45,0
1984,55,45,0
1985,53,47,0
1986,53,47,0
1987,45,55,0
1988,45,55,0
1989,45,55,0
1990,45,55,0
1991,44,56,0
1992,44,56,0
1993,43,57,0
1994,43,57,0
1995,52,48,0
1996,52,48,0
1997,55,45,0
1998,55,45,0
1999,55,45,0
2000,55,45,0
2001,50,50,0
2002,50,48,2
2003,51,48,1
2004,51,48,1
2005,55,44,1
2006,55,44,1
2007,49,49,2
2008,49,49,2
2009,41,57,2
2010,41,57,2
2011,47,51,2
2012,47,51,2
2013,45,53,2
2014,45,53,2
2015,54,44,2
2016,54,44,2
2017,52,46,2